"Rank","Name","Symbol","marketcap","price (USD)","country"
"102","MVV Energie","MVV1.F","2177426330","33.038","Germany"
"103","Gelsenwasser","WWG.F","2141393416","622.951","Germany"
"104","Dermapharm","DMP.F","2100642693","39.0164","Germany"
"105","Douglas Group","DOU.DE","2071452678","19.235","Germany"
"106","Deutsche EuroShop","DEQ.F","2063536122","27.0492","Germany"
"107","Mainova","MNV6.F","2019415012","367.213","Germany"
"108","Lanxess","LXS.F","1995873504","23.1148","Germany"
"109","Bilfinger","GBF.F","1982786168","52.7869","Germany"
"110","AUTO1","AG1.F","1891575886","8.74317","Germany"
"111","Hypoport","HYQ.F","1777675051","265.792","Germany"
"112","Hornbach Baumarkt","HBM.HM","1755457329","55.1913","Germany"
"113","Metro AG","B4B.F","1694325368","4.65574","Germany"
"114","Pfeiffer Vacuum","PFV.F","1660786710","166.776","Germany"
"115","Jenoptik","JEN.F","1599482684","27.2568","Germany"
"116","Dürr","DUE.F","1576677281","22.5355","Germany"
"117","ProSiebenSat.1 Media","PSM.F","1522482501","6.71585","Germany"
"118","Biotest","BIO.F","1461766995","45.0273","Germany"
"119","flatexDEGIRO AG","FTK.DE","1453878697","13.2131","Germany"
"120","Grenke","GLJ.F","1396665075","29.7268","Germany"
"121","Hamburger Hafen","HHFA.F","1371193215","18.1202","Germany"
"122","Elmos Semiconductor","ELG.DE","1341589263","78.3607","Germany"
"123","Hornbach Holding","HBH.DE","1282759344","80.2186","Germany"
"124","Wüstenrot &amp; Württembergische","WUW.F","1216767161","12.9617","Germany"
"125","PNE AG","PNE3.DE","1201361277","15.7377","Germany"
"126","thyssenkrupp nucera","NCH2.DE","1192657556","9.37705","Germany"
"127","KSB SE &amp; Co. KGaA","KSB.DE","1192016437","704.918","Germany"
"128","Immatics","IMTX","1139766272","11.06","Germany"
"129","Cancom","COK.F","1132790417","32.3497","Germany"
"130","Northern Data AG","NB2.DE","1130749552","21.1366","Germany"
"131","SÜSS MicroTec","SMHN.DE","1119771349","58.5792","Germany"
"132","Nagarro","NA9.DE","1096343362","82.2951","Germany"
"133","Adtran Networks","ADV.DE","1086602142","20.8743","Germany"
"134","Evotec","EVO","1084375296","3.06","Germany"
"135","Mensch und Maschine","MUM.F","1077145600","63.388","Germany"
"136","Verbio","VBK.F","1069678164","16.8087","Germany"
"137","Wacker Neuson","WAC.F","1025804450","15.082","Germany"
"138","HelloFresh","HFG.DE","1006469316","5.88197","Germany"
"139","Sedlmayr Grund und Immobilien AG","SPB.F","996087220","1356.53","Germany"
"140","Nexus AG","NXU.DE","979656463","56.7213","Germany"
"141","Formycon AG","FYB.DE","931087878","52.7322","Germany"
"142","OHB SE","OHB.DE","920980144","48.0874","Germany"
"143","Drägerwerk","DRW8.F","914424936","45.9016","Germany"
"144","Eckert &amp; Ziegler","EUZ.F","911278723","43.7158","Germany"
"145","Energiekontor","EKT.DE","910139593","65.4645","Germany"
"146","Vossloh AG","VOS.DE","908923314","51.7486","Germany"
"147","Salzgitter","SZG.F","904053316","16.6284","Germany"
"148","Zeal Network","TIMA.F","887590190","40.9836","Germany"
"149","GAG Immobilien","GWK3.HM","882316940","54.6448","Germany"
"150","CompuGroup Medical","COP.DE","868176577","16.6448","Germany"
"151","Sto SE &amp; Co. KGaA","STO3.DE","863822968","134.426","Germany"
"152","SMA Solar Technology","S92.F","859236162","24.7213","Germany"
"153","Rhön-Klinikum","RHK.DE","848619296","12.6776","Germany"
"154","Mühlbauer Holding","MUB.DE","837548835","59.0164","Germany"
"155","secunet","YSN.F","818792568","125.246","Germany"
"156","CEWE","CWC.F","752059873","106.339","Germany"
"157","Curevac","CVAC","744695936","3.32","Germany"
"158","TAKKT AG","TTK.DE","737796337","11.388","Germany"
"159","Paul Hartmann","PHH2.F","729756398","205.464","Germany"
"160","Deutsche Pfandbriefbank","PBB.DE","724254496","5.38579","Germany"
"161","Südwestdeutsche Salzwerke","SSH.F","723467191","68.8525","Germany"
"162","DEUTZ","DEZ.DE","707610369","5.09945","Germany"
"163","Mutares","MUX.DE","701874431","33.1694","Germany"
"164","Nürnberger Versicherung","NBG6.F","692459016","60.1093","Germany"
"165","Wild Bunch","WBAH.F","690805788","28.8525","Germany"
"166","Einhell Germany","EIN3.DE","688878863","60.8378","Germany"
"167","Medion AG","MDN.DE","669000184","14.9727","Germany"
"168","Patrizia Immobilien","P1Z.VI","661424052","7.70492","Germany"
"169","MLP SE","MLP.DE","660777617","6.04372","Germany"
"170","JOST Werke SE","JST.DE","636710330","42.7322","Germany"
"171","HOMAG Group","HG1.F","630949071","40.2186","Germany"
"172","About You","YOU.DE","609087650","3.49727","Germany"
"173","GFT Technologies","GFT.DE","608516686","23.1148","Germany"
"174","MBB SE","MBB.DE","604750339","105.792","Germany"
"175","Jumia","JMIA","601293312","4.91","Germany"
"176","Indus Holding","INH.F","589229814","22.5137","Germany"
"177","Hamborner REIT","HABA.DE","579626562","7.12568","Germany"
"178","AlzChem Group","ACT.DE","564979270","55.5191","Germany"
"179","Norma Group","NOEJ.F","560691340","17.377","Germany"
"180","Amadeus Fire","AAD.DE","558057967","102.732","Germany"
"181","Klöckner &amp; Co","KCO.DE","541266396","5.42623","Germany"
"182","STRATEC","SBS.F","536525674","41.9672","Germany"
"183","ProCredit","PCZ.DE","529120979","8.98361","Germany"
"184","WashTec AG","WSU.DE","527979261","39.4536","Germany"
"185","Aurelius Group","AR4.DE","513292829","19.24","Germany"
"186","ABO Energy","AB9.DE","503873784","54.6448","Germany"
